IDUser,Location,Edad,ISBN,Calificacion,Titulo,Autor,Idioma,Generos1,Generos2,Generos3,Generos4,Generos5,Generos6,Generos7,Generos8,Generos9,Generos10,Paginas,FechaPublicacion
2033,""" usa""",27,836220889,10,"""""""""Calvin and Hobbes""","""Bill Watterson, GB Trudeau (Foreword)""","""English""","""Comics""","""Humor""","""Graphic Novels""","""Fiction""","""Childrens""","""Comedy""","""Graphic Novels Comics""","""Comic Book""","""Classics""","""Comic Strips""",128,87
2033,""" usa""",27,886774004,10,"""Arrows Fall""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""Young Adult""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Romance""","""Adventure""","""Adult""",319,88
2033,""" usa""",27,886776619,9,"""Storm Warning""","""Mercedes Lackey""","""English""","""Fantasy""","""Fiction""","""Science Fiction Fantasy""","""High Fantasy""","""Magic""","""Epic Fantasy""","""Adult""","""Adventure""","""Young Adult""","""Science Fiction""",428,94
10560,""" usa""",27,452281431,8,"""Beautys Punishment""","""AN Roquelaure (pseudonym), Anne Rice""","""English""","""Erotica""","""Fiction""","""Fantasy""","""Romance""","""BDSM""","""Adult""","""Fairy Tales""","""Adult Fiction""","""Sexuality""","""Erotic Romance""",233,84
10560,""" usa""",27,452284449,8,"""The Virgin Blue""","""Tracy Chevalier (Goodreads Author)""","""English""","""Historical Fiction""","""Fiction""","""Historical""","""France""","""Art""","""Mystery""","""Romance""","""Adult Fiction""","""Adult""","""Contemporary""",304,97
10560,""" usa""",27,765341174,8,"""Sarah""","""Orson Scott Card""","""English""","""Historical Fiction""","""Fiction""","""Religion""","""Historical""","""Biblical Fiction""","""Lds""","""Christian Fiction""","""Christian""","""Lds Fiction""","""Fantasy""",341,0
13552,""" usa""",32,380899531,9,"""Love Only Once""","""Johanna Lindsey""","""English""","""Historical Romance""","""Romance""","""Historical""","""Regency""","""Historical Fiction""","""Fiction""","""Regency Romance""","""Adult""","""British Literature""","""Pirates""",344,85
13552,""" usa""",32,380756285,7,"""Angel""","""Johanna Lindsey""","""English""","""Romance""","""Historical Romance""","""Historical""","""Westerns""","""Western Romance""","""Historical Fiction""","""Fiction""","""Adult""","""Western Historical Romance""","""Love""",416,92
13552,""" usa""",32,440222842,6,"""Five Days in Paris""","""Danielle Steel""","""English""","""Romance""","""Fiction""","""Chick Lit""","""Novels""","""Contemporary""","""France""","""Contemporary Romance""","""Adult Fiction""","""Love""","""Adult""",291,95
16795,""" usa""",47,385720106,9,"""A Map of the World""","""Jane Hamilton, Frank Muller (Narrator), CJ Critt (Narrator)""","""English""","""Fiction""","""Contemporary""","""Adult Fiction""","""Literary Fiction""","""Novels""","""Literature""","""Drama""","""Adult""","""Realistic Fiction""","""Family""",400,92
16795,""" usa""",47,375701214,8,"""The Diving Bell and the Butterfly""","""Jean-Dominique Bauby, Jeremy Leggatt (Translator)""","""English""","""Nonfiction""","""Memoir""","""Biography""","""Biography Memoir""","""Autobiography""","""France""","""Medicine""","""Medical""","""Classics""","""Disability""",132,97
16795,""" usa""",47,671525743,8,"""Night Whispers""","""Judith McNaught""","""English""","""Romance""","""Contemporary Romance""","""Contemporary""","""Romantic Suspense""","""Fiction""","""Suspense""","""Mystery""","""Chick Lit""","""Adult""","""Historical Romance""",451,98
16795,""" usa""",47,440194903,8,"""When the Wind Blows""","""John Saul""","""English""","""Horror""","""Fiction""","""Thriller""","""Mystery""","""Supernatural""","""Suspense""","""Adult""","""Paranormal""","""Mystery Thriller""","""Fantasy""",352,81
44852,""" usa""",39,1576737330,7,"""The Prayer of Jabez: Breaking Through to the Blessed Life""","""Bruce H Wilkinson""","""English""","""Christian""","""Nonfiction""","""Religion""","""Prayer""","""Christianity""","""Spirituality""","""Faith""","""Christian Living""","""Christian Non Fiction""","""Inspirational""",93,0
44852,""" usa""",39,375725784,8,"""A Heartbreaking Work of Staggering Genius""","""Dave Eggers""","""English""","""Fiction""","""Contemporary""","""Literature""","""Novels""","""Humor""","""Biography Memoir""","""American""","""Unfinished""","""Adult""","""Literary Fiction""",485,0
44852,""" usa""",39,385720106,6,"""A Map of the World""","""Jane Hamilton, Frank Muller (Narrator), CJ Critt (Narrator)""","""English""","""Fiction""","""Contemporary""","""Adult Fiction""","""Literary Fiction""","""Novels""","""Literature""","""Drama""","""Adult""","""Realistic Fiction""","""Family""",400,92
44852,""" usa""",39,375702709,8,"""A Lesson Before Dying""","""Ernest J Gaines""","""English""","""Fiction""","""Classics""","""Historical Fiction""","""African American""","""School""","""Literature""","""Adult Fiction""","""Novels""","""Historical""","""Literary Fiction""",256,93
46398,""" usa""",37,385486804,7,"""Into the Wild""","""Jon Krakauer (Goodreads Author)""","""English""","""Nonfiction""","""Biography""","""Travel""","""Adventure""","""Classics""","""Memoir""","""Nature""","""Biography Memoir""","""School""","""Survival""",207,96
46398,""" usa""",37,345316509,10,"""Job: A Comedy of Justice""","""Robert A Heinlein""","""English""","""Science Fiction""","""Fiction""","""Fantasy""","""Science Fiction Fantasy""","""Humor""","""Religion""","""Speculative Fiction""","""Comedy""","""Adventure""","""Novels""",439,84
